id;region;fed_okr;tipnp;Q1;Q2;Q3;Q4;Q5;Q6;Q7;AGE;EDU;GENDER;PROF;INCOME
250;77;1;1;0;3;2;2;2;6;7;52;3;1;3;9
251;56;5;7;0;3;2;3;2;4;7;24;3;1;3;8
252;74;6;2;0;3;4;1;1;2;5;30;4;1;3;6
253;86;6;4;0;3;3;1;1;3;5;31;5;1;3;6
254;74;6;2;0;3;4;2;1;2;7;35;4;1;3;6
255;78;2;1;1;2;4;1;1;7;97;22;5;1;3;9
256;78;2;1;1;2;4;1;1;7;97;30;5;2;3;9
257;23;3;7;1;2;2;4;4;6;97;25;3;1;3;6
258;78;2;1;1;2;1;4;4;6;97;30;3;1;3;6
259;25;8;3;1;2;3;2;2;5;97;34;3;1;3;8
260;16;5;5;1;2;1;4;4;6;97;37;3;1;3;8
261;76;1;3;1;2;2;3;3;6;97;52;2;1;3;8
262;42;7;6;1;2;2;3;3;7;97;45;5;1;3;8
263;38;7;4;0;2;4;2;2;97;5;23;2;1;3;6
264;37;1;5;0;2;1;2;4;97;3;25;2;1;3;5
265;42;7;6;0;3;2;3;3;97;6;25;3;1;3;6
266;50;1;5;0;3;3;3;3;97;2;34;3;1;3;7
267;45;5;4;0;3;4;4;4;97;3;31;2;1;3;7
268;16;5;5;0;3;2;3;4;97;5;31;3;1;3;8
269;50;1;6;0;3;4;4;4;97;2;28;5;1;3;9
270;47;2;6;0;3;4;2;2;97;5;28;2;1;3;9
271;55;7;2;0;3;4;1;1;97;2;36;5;1;3;6
272;76;1;3;0;2;2;3;3;97;7;42;2;1;3;6
273;50;1;4;0;2;3;3;3;97;2;41;5;1;3;7
274;61;3;2;0;2;2;4;4;97;3;43;5;1;3;7
275;78;2;1;0;2;4;4;4;97;2;37;3;1;3;8
276;45;5;4;0;2;4;4;4;97;3;54;3;2;3;5
277;74;6;6;0;2;1;1;4;97;3;55;3;2;3;5
278;2;5;7;0;2;4;4;4;97;2;48;5;2;3;6
279;21;5;7;0;2;2;3;3;97;2;45;2;1;3;6
280;55;7;7;0;2;4;4;2;97;2;47;3;2;3;6
281;55;7;7;0;2;4;4;2;97;2;46;3;1;3;6
282;66;6;7;0;2;4;4;4;97;3;50;2;1;3;7
283;33;1;4;0;3;4;4;4;97;5;50;2;1;3;7
284;2;5;7;0;3;4;4;2;97;2;46;2;1;3;8
285;50;1;5;0;3;3;3;3;97;2;45;5;2;3;8
286;73;5;3;0;3;1;4;4;97;5;53;2;1;3;8
287;77;1;1;2;3;3;1;2;5;2;21;5;2;3;8
288;30;3;6;2;3;2;2;2;7;2;24;3;2;3;8
289;68;1;4;2;3;2;2;3;3;3;23;5;2;3;8
290;66;6;4;2;2;2;4;4;5;3;21;4;2;3;6
291;21;5;4;2;2;2;2;2;5;3;24;3;2;3;7
292;50;1;5;2;2;3;2;2;5;2;28;2;1;3;8
293;21;5;4;2;2;3;2;2;3;3;31;5;1;3;8
294;73;5;6;2;2;4;2;2;4;2;30;5;2;3;5
295;23;3;5;2;2;2;3;3;4;1;25;5;1;3;6
296;61;3;2;2;2;2;2;3;4;2;25;2;1;3;6
297;37;1;6;2;2;3;3;3;3;3;33;3;2;3;6
298;52;5;5;2;2;2;3;3;4;3;25;4;1;3;6
299;24;7;2;2;2;2;3;3;6;4;25;3;2;3;6
300;16;5;5;2;2;2;3;3;3;3;27;3;1;3;7
301;37;1;4;2;2;2;2;2;5;5;25;4;2;3;7
302;50;1;5;2;2;2;2;3;2;1;26;5;1;3;8
303;21;5;4;2;2;2;3;3;5;4;25;3;2;3;8
304;52;5;2;2;2;2;2;2;5;5;29;3;1;3;8
305;50;1;4;2;3;2;2;3;4;2;33;4;2;3;9
306;50;1;5;2;3;2;2;2;5;3;29;5;1;3;9
307;23;3;3;2;3;1;3;3;6;4;31;5;2;3;9
308;50;1;5;2;3;3;2;2;4;1;43;3;2;3;8
309;52;5;6;2;3;2;3;3;4;2;35;3;1;3;8
310;24;7;2;2;3;4;4;4;5;2;37;5;2;3;8
311;50;1;5;2;2;1;1;3;4;3;36;4;2;3;8
312;74;6;3;2;2;1;4;4;3;3;43;3;1;3;6
313;33;1;4;2;2;1;3;3;5;5;35;5;1;3;6
314;72;6;3;2;2;2;2;2;5;3;37;5;2;3;7
315;50;1;5;2;2;2;2;3;2;1;40;3;1;3;8
316;50;1;5;2;2;2;2;2;3;2;35;3;1;3;8
317;50;1;5;2;2;2;2;3;4;2;35;3;2;3;8
318;77;1;1;2;2;2;3;3;6;2;39;3;1;3;8
319;33;1;4;2;2;1;3;3;7;5;35;3;2;3;8
320;68;1;7;2;2;3;1;1;5;2;39;3;1;3;9
321;50;1;5;2;2;3;2;2;4;2;55;2;2;3;8
322;66;6;5;2;3;4;1;4;4;4;52;3;1;3;8
323;61;3;4;2;3;4;2;2;3;3;45;3;2;3;6
324;77;1;1;3;3;2;4;4;5;2;53;2;1;3;7
325;68;1;7;3;3;2;2;2;4;4;45;3;1;3;7
326;50;1;5;3;3;1;1;3;3;2;49;3;1;3;8
327;50;1;5;3;3;1;3;3;4;2;54;5;2;3;8
328;74;6;7;3;3;3;4;4;5;5;48;2;2;3;8
329;77;1;1;3;3;2;3;3;6;3;50;3;1;3;9
330;92;3;4;3;2;4;2;2;7;5;28;5;2;3;8
331;66;6;2;3;2;1;1;1;7;6;31;3;1;3;8
332;50;1;7;3;2;1;4;4;4;7;27;5;1;3;9
