id;region;fed_okr;tipnp;Q1;Q2;Q3;Q4;Q5;Q6;Q7;AGE;EDU;GENDER;PROF;INCOME
430;25;8;6;3;2;4;4;4;97;7;64;3;2;1;6
431;78;2;1;3;2;2;3;3;97;3;61;3;1;1;7
432;16;5;3;0;0;3;2;3;3;2;18;2;2;5;6
433;36;1;2;0;1;4;4;4;4;5;18;2;2;5;6
434;77;1;1;2;0;3;2;2;3;2;21;2;2;5;9
435;78;2;1;3;1;4;1;1;7;7;21;4;1;5;7
436;77;1;1;3;0;2;3;3;4;97;20;2;2;5;8
437;24;7;2;0;2;2;4;2;6;3;19;3;2;5;4
438;77;1;1;0;2;4;1;1;4;2;18;2;1;5;8
439;16;5;2;0;2;1;2;2;6;3;20;4;1;5;9
440;54;7;2;1;3;2;2;2;7;7;19;2;2;5;8
441;38;7;4;1;2;4;1;1;7;5;23;4;2;5;6
442;77;1;1;0;2;1;2;2;7;5;19;3;1;5;8
443;16;5;3;0;2;4;1;2;7;5;23;4;2;5;9
444;74;6;2;0;3;3;2;2;2;5;19;5;1;5;8
445;52;5;2;0;2;4;1;2;97;5;19;2;1;5;6
446;77;1;1;2;2;4;1;1;4;3;19;2;2;5;8
447;38;7;6;2;2;1;3;3;7;5;22;3;2;5;8
448;77;1;1;2;2;4;1;1;4;3;19;2;1;5;9
449;52;5;6;2;2;2;3;3;3;2;25;4;2;5;8
450;78;2;1;3;2;1;4;4;7;97;19;3;2;5;9
451;66;6;2;3;2;2;4;4;6;97;18;2;1;5;5
452;24;7;6;3;2;4;2;2;7;97;18;2;2;5;6
453;16;5;2;3;2;2;3;3;6;97;20;4;2;5;8
454;61;3;4;3;2;4;1;1;97;2;18;2;2;5;6
455;26;5;6;3;2;2;3;3;97;5;18;4;1;5;7
456;68;1;4;0;1;2;2;2;4;2;25;4;1;6;8
457;36;1;2;0;1;4;1;4;7;5;49;5;1;6;8
458;33;1;4;0;0;3;2;2;97;3;34;3;2;6;8
459;24;7;2;2;0;4;4;3;5;2;19;3;1;6;8
460;26;5;4;2;0;3;2;2;7;2;26;3;2;6;5
461;16;5;6;2;0;2;2;2;3;3;31;5;1;6;8
462;24;7;7;3;0;1;4;4;7;7;45;4;2;6;6
463;23;3;5;3;0;4;1;2;97;2;21;3;2;6;6
464;48;1;7;3;0;2;1;4;97;2;35;3;2;6;5
465;48;1;7;3;0;4;4;1;97;3;36;5;2;6;5
466;37;1;5;0;2;1;2;2;5;3;25;5;2;6;8
